UF,Code,State,Year,stategdp,population,health_insurance,hospitalbeds,icu,population65,doctors,gdp_pc,IMLEE,LSS,first_restriction,first_stringency_index,week_first_restriction,deaths_week13,cases_week13,first_death,first_1kcases,first_10cases_pc,first_100cases_pc,first_1death_pc,first_10death_pc,si2020,si2021,votes_left,votes_right,votes_null,share_votes_right,deaths2020,deaths2021,cases2020,cases2021,cases_pc2020,cases_pc2021,deaths_pc2020,deaths_pc2021
AC,12,ACRE,2000,4840505.58872459,541873.0,,,,,,8932.915256387732,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2001,5024465.34693373,574355.0,,,,,,8748.013592523317,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2002,5644716.55658037,586942.0,,,,,,9617.162439526172,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2003,5623480.25045121,600595.0,,,,,,9363.18192867275,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2004,5847495.66670301,630328.0,,,,,,9276.909270575019,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2005,6186073.01314031,669736.0,,,,,,9236.584285659288,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2006,6280230.32670671,686652.0,,,,,,9146.16185011725,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2007,6908242.24526315,,,,,,,,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2008,7458515.05641877,680075.0,,,,,,10967.194877651391,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2009,8031806.82615391,691132.0,,,,,,11621.234187035052,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2010,8342356.0,,,20.0339724953451,0.839512625355241,,8.38859308137066,,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
AC,12,ACRE,2011,8262140.24451202,746386.0,,19.295678821253,0.968744554156995,,8.50675466506701,11069.52735516478,,,2020-03-20,66.67,12,0,25,15,19,16,19,17,22,54.81631147540984,51.88183561643835,86977,294899,17253,0.7388563597232974,,,,,,,,
